id,lon_start,lat_start,lon_end,lat_end,frequency
2957,10.732861,52.40832,10.734867,52.408291,0.059053
2958,10.734867,52.408291,10.734896,52.407827,1.131064
2959,10.725789,52.40345,10.726365,52.403437,1.106123
2960,10.726365,52.403437,10.727119,52.403421,0.904325
2961,10.727119,52.403421,10.727172,52.404255,0.778151
2962,10.727172,52.404255,10.727119,52.404397,0.30103
2963,10.727119,52.404397,10.726423,52.404372,-inf
2964,10.726423,52.404372,10.726365,52.403437,0.30103
2965,10.737976,52.399104,10.739265,52.399634,1.283844
2966,10.739265,52.399634,10.740169,52.399947,1.104491
2967,10.740169,52.399947,10.740125,52.40081,0.891072
2968,10.740125,52.40081,10.739236,52.401086,0.746234
2969,10.739236,52.401086,10.73912,52.401978,0.733553
2970,10.73912,52.401978,10.74101,52.401949,0.858192
2971,10.74101,52.401949,10.741178,52.402105,1.008179
2972,10.741178,52.402105,10.741094,52.40308,0.963684
2973,10.741094,52.40308,10.740658,52.403225,0.956899
2974,10.740658,52.403225,10.740682,52.403517,1.036746
2975,10.740682,52.403517,10.740413,52.403741,1.070995
2976,10.740413,52.403741,10.739523,52.403906,1.096406
2977,10.684437,52.409259,10.684143,52.409013,0.762853
2978,10.684143,52.409013,10.682213,52.408367,0.598296
2979,10.682213,52.408367,10.680284,52.407721,0.428927
2980,10.680284,52.407721,10.679978,52.407951,0.527987
2981,10.679978,52.407951,10.680691,52.408244,0.799292
2982,10.709803,52.408958,10.710612,52.409915,1.528972
2983,10.709375,52.408684,10.709803,52.408958,1.485894
2984,10.751902,52.395044,10.752531,52.395072,0.880831
2985,10.760032,52.397916,10.760366,52.398041,1.252841
2986,10.751569,52.394608,10.751534,52.395034,0.142293
2987,10.751534,52.395034,10.751902,52.395044,0.889828
2988,10.751902,52.395044,10.751931,52.394613,0.10607
2989,10.759626,52.397767,10.760032,52.397916,1.254764
2990,10.760032,52.397916,10.760102,52.397007,0.507313
2991,10.760102,52.397007,10.759769,52.39695,0.471128
2992,10.752276,52.394618,10.752531,52.395072,1.268622
2993,10.752531,52.395072,10.75312,52.395638,1.294687
2994,10.759235,52.396988,10.759423,52.396994,0.508489
2995,10.758964,52.396979,10.759235,52.396988,0.466003
2996,10.759235,52.396988,10.759173,52.397624,0.292029
